code,lat,lon,SPR
43307,55.898745,-4.2452078,1.754495942
43311,55.890242,-4.2876893,1.250257251
43326,55.886874,-4.2347674,0.737955546
43345,55.934562,-4.1519518,0.971944783
43415,55.940144,-4.1580261,1.424005753
43453,55.875406,-4.2647706,1.089598549
43487,55.882674,-4.2289616,1.628495849
43504,55.882674,-4.2289616,1.658396388
43538,55.88113,-4.2540077,1.401246281
43542,55.88113,-4.2540077,1.788502583
43557,55.903424,-4.2275764,0.9822104
43576,55.890242,-4.2876893,0.660876247
46019,55.865242,-4.232246,0.538773034
46023,55.852728,-4.2279652,1.443435931
46057,55.878702,-4.194472,1.268955275
46061,55.865242,-4.232246,0.642215616
46081,55.85241,-4.1698707,1.542633293
46095,55.852429,-4.19462,1.457848371
46108,55.862951,-4.2137998,1.316533151
46112,55.875473,-4.1621252,0.7974964
46127,55.858743,-4.2213904,1.224428439
46131,55.849063,-4.1903405,1.732695649
46146,55.859272,-4.1944307,1.70118126
46151,55.84687,-4.2273744,2.11994638
46165,55.85241,-4.1698707,1.421983803
46184,55.848112,-4.2272857,1.317737643
46201,55.861614,-4.1667564,1.638532233
46216,55.848891,-4.1164928,1.579723812
46221,55.868904,-4.125957,1.63931672
46235,55.852429,-4.19462,1.872608257
46240,55.868904,-4.125957,1.464586158
46292,55.861614,-4.1667564,2.062148165
46305,55.848891,-4.1164928,1.142549906
46339,55.849856,-4.1912319,1.732425815
46343,55.843581,-4.171583,0.938821094
46377,55.865827,-4.194257,1.148133672
46381,55.852728,-4.2279652,1.432956953
46396,55.852728,-4.2279652,1.398529841
46428,55.852728,-4.2279652,0.720619363
46447,55.852728,-4.2279652,1.846420389
46451,55.868904,-4.125957,1.777140898
46471,55.868904,-4.125957,2.38740824
46521,55.86328,-4.1808009,1.327270028
46555,55.852728,-4.2279652,1.697264789
46560,55.857174,-4.2167149,1.505988484
46574,55.852728,-4.2279652,2.133604227
46606,55.852728,-4.2279652,1.644798862
46611,55.852728,-4.2279652,2.147404529
49041,55.837238,-4.2578229,0.733980025
49074,55.84823,-4.2484758,1.603312494
49093,55.843413,-4.2626855,1.794391411
49106,55.809782,-4.2420443,1.260884115
49130,55.826076,-4.2651272,1.092432276
49144,55.839451,-4.275744,0.714701899
49159,55.787755,-4.2742269,0.676792137
49178,55.837238,-4.2578229,0.957046334
49197,55.785384,-4.2746151,0.433341032
49200,55.827651,-4.2839164,0.990939174
49214,55.787755,-4.2742269,0.514666648
49248,55.814636,-4.2665214,0.560619687
49267,55.840351,-4.2596006,1.28533337
49271,55.828263,-4.2891895,0.8615862
49286,55.835654,-4.2710983,1.001904547
49318,55.830718,-4.2794653,0.814238138
49337,55.772306,-4.3303127,0.674934802
49375,55.828259,-4.2341979,2.245812714
49411,55.819111,-4.2366107,1.14007147
49445,55.800978,-4.2948955,0.887057853
49464,55.77501,-4.3137629,0.716623854
49553,55.82605,-4.2868881,0.902566631
49568,55.782827,-4.3470335,1.31367312
49604,55.84823,-4.2484758,1.221808992
49619,55.781107,-4.3188132,0.469269447
49623,55.787528,-4.2753621,0.74177564
49638,55.739651,-4.271443,0.83895241
49661,55.84536,-4.2745399,0.781356275
49676,55.84536,-4.2745399,1.153717014
49681,55.828671,-4.2608233,1.101225862
49712,55.830266,-4.2796145,0.72645978
49751,55.805759,-4.2349669,2.028307028
49765,55.809782,-4.2420443,1.15594507
49770,55.819111,-4.2366107,0.762795315
49784,55.79412,-4.2876958,0.579178149
52005,55.851999,-4.2993409,1.447012184
52010,55.81054,-4.2467801,1.619525284
52024,55.850768,-4.3572162,1.490941283
52039,55.837238,-4.2578229,0.971256303
52043,55.832244,-4.3407803,1.171063695
52058,55.852198,-4.2954382,1.129274902
52062,55.860506,-4.3263397,1.642576897
52096,55.860506,-4.3263397,1.143494457
52109,55.850806,-4.3049742,1.537586037
52128,55.853354,-4.2791772,1.469271702
52147,55.806658,-4.3307697,1.081145984
52151,55.831737,-4.2860243,0.732475392
52185,55.845454,-4.3423094,1.095866036
52202,55.854193,-4.279498,0.989400656
52217,55.853354,-4.2791772,1.194400454
52221,55.80709,-4.3183476,1.529453353
52241,55.846238,-4.3360624,1.505379615
52255,55.80709,-4.3183476,1.054793197
52260,55.853354,-4.2791772,1.393809747
52293,55.822774,-4.3462942,1.492369531
52330,55.860506,-4.3263397,1.367738135
52344,55.829458,-4.359599,1.07423707
52359,55.860506,-4.3263397,1.520022031
52382,55.826528,-4.2964642,1.14905867
52397,55.826528,-4.2964642,1.208270682
52400,55.822774,-4.3462942,2.130784
52414,55.845454,-4.3423094,1.048900811
85032,55.946283,-4.5739115,1.10730132
85047,55.946283,-4.5739115,1.288578033
85066,55.946283,-4.5739115,0.824853264
85071,55.946283,-4.5739115,1.184979333
85085,55.946283,-4.5739115,1.162839591
85090,55.946283,-4.5739115,1.052501828
85225,55.992863,-4.5917456,1.227705341
85230,55.987153,-4.579033,1.603736728
85259,55.991397,-4.5857943,1.612151171
85403,55.992863,-4.5917456,1.368393029
86001,55.961103,-4.8163289,1.063591094
86040,55.945906,-4.7666258,1.37573317
86054,55.945906,-4.7666258,1.297627358
86162,55.945906,-4.7666258,1.48945184
86177,55.948806,-4.7679701,1.253272013
86181,55.94634,-4.7692998,0.887364981
86196,55.893124,-4.625941,0.793854885
86209,55.893359,-4.6279884,0.954699211
86228,55.945906,-4.7666258,1.261173454
86271,55.934674,-4.686063,1.311897291
86285,55.934674,-4.686063,1.365247039
86317,55.934674,-4.686063,1.451830758
86321,55.934674,-4.686063,1.582917408
86336,55.924616,-4.6637388,2.795058101
86341,55.94634,-4.7692998,1.870718891
86355,55.945906,-4.7666258,1.366642613
87019,55.801943,-4.3895126,0.853189527
87023,55.783912,-4.4244547,0.849637201
87108,55.801943,-4.3895126,1.224666688
87112,55.904261,-4.502119,0.58632285
87146,55.871495,-4.5405033,0.682463694
87165,55.801943,-4.3895126,0.828447692
87184,55.899692,-4.4436575,0.79201377
87235,55.905166,-4.4486099,0.879096276
87240,55.908378,-4.4651175,0.805918769
87292,55.834,-4.5140525,0.844935992
87305,55.833495,-4.515042,1.358887159
87324,55.83647,-4.5176619,0.767058537
87339,55.837559,-4.5145219,1.655469614
87343,55.833495,-4.515042,0.82200189
87409,55.847834,-4.489272,0.967001592
87432,55.794095,-4.6307247,0.961919982
87466,55.837895,-4.4234705,1.017725845
87471,55.841495,-4.4218576,1.106149245
87485,55.849182,-4.4534744,1.622412288
87490,55.844479,-4.4395834,1.13351882
87502,55.837501,-4.4238452,0.65146183
87517,55.823517,-4.4320119,1.07851373
87521,55.848674,-4.4201794,0.603209293
87541,55.848674,-4.4201794,1.002900602
87555,55.847313,-4.4148547,1.031545069
87560,55.850274,-4.4260786,1.052970231
87574,55.848218,-4.4286983,2.019741186
87606,55.848674,-4.4201794,0.869785928
87625,55.84064,-4.4182584,0.702260183
87697,55.880667,-4.3844517,0.732196056
87700,55.880667,-4.3844517,1.023334538
87714,55.880667,-4.3844517,1.038062312
87729,55.833495,-4.515042,0.945184008
